Tabassaran;English
тӀаммилан; Hello
ма агар; How are you?
бир бинис; Good morning
кӀӀамади бир; Good afternoon
кӀӀамади ди; Good evening
милмилда; Goodbye
барили; Yes
чила; No
усагъаллан; Thank you
милӀин; Please
гунда; Excuse me
итди; Sorry
хӀабар; What's your name?
хӀабарам; My name is...
баршикъулама; I don't understand
аздида; Help!
хьунав; Food
къида; Water
яьлда; Sleep
хъавда; Drink
маххар; Friend
хьайда; Love
хунда; Family
сирда; Home
гӀурда; Work
цӀурда; School
ларда; Hospital
къарда; Money
гӀузарда; Time
къидалда; Travel