Tahitlian;English
Ia Orana (yo-rah-nah);Hello (general greeting)
Maita’ i oe? ( my-tie oh-ay);How are you?
Maita’ i vau. ( my-tie vah-oo);I am fine.
Mauruuru. (mah-roo-roo);Thank you.
Nana. (nah-nah);Bye bye.
Ua ite oe i te parau Marite? (oo-ah ee-tay oh-ay eetay pah- rah-oo mah-ree-tay);Do you speak English?
Aita i papu ia’u. (eye-tah ee pah-poo ee-ah-oo);I don’t understand.
Faa taere te parau. (fah-ah tah-ay-ray tay pah-rah-oo);Please speak slowly.
Tapiti. (tah-pee-tee);Repeat please.
O vai to oe i’oa? (oh vah-ee toh oh-ay ee-oh-ah);What is your name?
O Joan to’u i’oa. (oh John toh-oo ee-oh-ah);My name is John.
Nohea mai oe? (noh-hay-ah my oh-ay);Where are you from?
No te Fenua Marite mai vau. (noh tay feh-noo-ahmah-ree-tay my vah-oo);I am from America.
Fa’aite mai ia’u ite e’a ... (fah-eye-tay my ee-ah-ooee-tay ay-ah);Show me the way to...
Haere tatou! (ha-ay-ray tah-toh-oo);Let’s go!
Haere mai! (ha-ay-ray my);Come here!
Na te pae atau. (nah tay pah-ay ah-tah-oo);Turn right.
Na te pae aui. (nah tay pah-ay ah-wee);Turn left.
Arave ato’a ia’u ... (ah-rah-vay ah-toh-ah ee-ah-oo);Please take me to ...
Hina’aro vau e parau ia John. (hee-nah-ah-roh vah-oo ay pah-rah-oo ee-ah John);I want to speak to John.
Ovai te ie? (oh-vie tay ee-ay);Who is this?
Eaha tei’oa ote’ie? (ay-ah-ha tay-ee-oh-ah oh-tay-ee-ay);What is the name of this?
Ehia moni te’ie? (ay-hee-ah moh-nee tay-ee-ay);What is the price of this?
Eaha te tumu? (ay-ah-ha tay too-moo);What’s wrong?
A hi’o! (ah hee-oh);Look!
Ha’a viti viti! (ha-ah vee-tee vee-tee);Hurry up!
Haere maru! (ha-ay-ray mah-roo);Take it easy!
Manuia! (mah-nwee-ah);To your health!
E mea maita’ i roa teie. (ay may-ah my-tie roh-ahtay-ee-ay);This is very good.
Hina’aro oe e inu? (hee-nah-ah-roh oh-ay ay ee-noo);Do you want a drink?
Ua poia anei oe? (oo-ah poh-ee-ah ah-nay-ee oh-ay);Are you hungry?
E (ay);Yes
Aita (eye-tah);No
Eaha? (ay-ah-ha);What?