Wolof;English
Jëfandikukat (jeh-fahn-dee-koo-kaht); Hello
Ba beneen yoon (bah beh-neen yohn); Goodbye
Jërejëf (jeh-reh-jehf); Thank you
Waaw (wahw); Yes
Déedéet (deh-dehht); No
Ñaari sew (nyah-ree soo); Please
Baal ma (bah-ahl mah); Excuse me
Naka nga def? (nah-kah ngah def?); How are you?
Aññul ak jëm (ah-nyool ak jem); I'm fine
Mbind mi (mbeend mee); My name is...
Ñaata la (nyah-tah lah); Where is...?
Ñuul (nyool); Food
Sibu (see-boo); Water
Ndeyam (en-dyam); Rice
Leebu jën (leh-boo jen); Chicken
Gaaw (gahw); Fish
Fët (fet); Meat
Sukaar (soo-kahr); Sugar
Ndey (en-dey); Salt
Us (oos); Pepper
Joom (johm); Drink
Gis (gees); Milk
Bes (behs); Bread
Jënd (jend); Market
Bus (boos); Car
Kër (kehr); House
Xarit (khah-reet); Friend
Muusik (moo-seek); Music
Nder (n-dehr); Money
Xaj bi (khaj bee); Time