English text;Russian text
Tracy: Hello, Mark! How are you? Have not seen you for ages!;Трейси: Привет, Марк! Как поживаешь? Не видела тебя лет сто!
Mark: Hello, Tracy! Just wonderful! Glad to see you.;Марк: Привет, Трейси! У меня все просто замечательно! Очень рад видеть тебя.
T: So do I. What are you doing here? I thought you had left the city after the exams.;Т: Взаимно. Что ты здесь делаешь? Я думала, ты уехал из города сразу после экзаменов.
M: I was going, but the plans have changed, and here I am.;М: Я собирался, но планы изменились, и вот я здесь.
T: It’s a surprise to see you in the Sports complex. I did not know that you are fond of sports.;Т: Не ожидала увидеть тебя в спортивном комплексе. Не знала, что ты увлекаешься спортом.
M: And I'm not fond of it. I certainly do gymnastics and all that, but I'm not a big fan. And here I am because my girl goes in for figure skating. So I am waiting here the end of her training. And what are you doing here?;М: А я и не увлекаюсь. Я, конечно, делаю зарядку и все такое, но не являюсь большим фанатом. А здесь я потому, что моя девушка занимается фигурным катанием. Вот я жду ее после тренировки.
А что ты делаешь здесь?
T: Shame on you, Mark. You forgot that I have been doing tennis for a long time.;Т: Стыдно, Марк. Ты забыл, что я уже давно занимаюсь теннисом.
M: Oh, I'm sorry. I completely forgot. And how are you getting on?;М: Ой, прости. Я совсем забыл. И как твои успехи?
T: I’ve already participated in the city tournament and won the second prize.;Т: Я уже участвовала в городском турнире и заняла второе место.
M: Terrific! You're doing great! I was always surprised at people like you. How do you have enough willpower not to give up all these workouts?;М: Потрясающе! Ты молодец! Всегда удивлялся таким, как ты. Как у вас хватает силы воли не бросать все эти тренировки.
T: It helps to spend free time and at the same time do something useful for your health. And what do you do when you have a free minute?;Т: Это помогает занять свободное время и одновременно сделать что-то полезное для своего здоровья. А что же ты делаешь, когда у тебя есть свободная минутка?
M: Well, I also found an interesting occupation for myself. I write poems. Even when I wait for my girl from training, and I have inspiration, I can write a couple of lines.;М: Ну, я тоже нашел для себя интересное занятие. Я пишу стихи. Даже когда жду девушку с тренировки, и у меня появляется вдохновение, я могу написать пару строк.
T: This is also an interesting way to spend time usefully. Something like training for the brain. Some time ago I also tried to write poems, but failed, so I fixed myself just on reading. And what else do you like to do? I mean active rest.;Т: Это тоже интересный способ провести время с пользой. Тренировка для мозга своего рода. Я когда то тоже пыталась писать стихи, но у меня не получилось, так что я ограничилась чтением. А чем еще ты любишь заниматься? Я имею в виду активный отдых.
M: To talk about active rest, I love summer sports, such as diving. If I am lucky enough to have holiday in summer, then I certainly go to the place where I can dive.;М: Если говорить об активном отдыхе, то я люблю летние виды спорта, типа дайвинга. Если мне посчастливилось пойти в отпуск летом, то я непременно еду туда, где можно понырять.
T: That's not bad either. Well, I should go. My training is in 5 minutes. I was glad to see.;Т: Тоже неплохо. Ну что ж, я побежала. У меня занятие через 5 минут. Рада была видеть.
M: So was I. Good luck to you.;М: Взаимно. Удачи тебе.
T: Thank you. You too.;Т: Спасибо. Тебе тоже. 