English;Russian
Attractions;Достопримечательности
Business district;Деловой район
Entertainment district;Развлекательный район
Dining district;Обеденный район
Custom;Индивидуальный
Highlight;Выделить
Scenery;Пейзаж
Surroundings;Окружающая среда
Depart;Отправление
Arrive;Прибытие
Recommend;Рекомендовать
Sit back and relax;Сядьте поудобнее и расслабьтесь
I heard you ask (about flights). Is that correct?;Я слышал, как вы спрашивали (о полетах). Это правильно?
So, you said (you wanted to visit the ruins), right?;Итак, вы сказали (вы хотите посетить руины), верно?
Okay, I understand that (your flight leaves at 3 PM). Is that correct?;Хорошо, я понимаю, что (ваш рейс вылетает в 15:00). Это правильно?
I’m sorry, I didn’t quite understand that. Can you say that again?;Простите, я не совсем понял. Не могли бы вы повторить это еще раз?
Pardon my English, but I didn’t quite understand that. Can you say that again?;Извините за мой английский, но я не совсем понял. Не могли бы вы повторить?
I’m sorry, but I didn’t catch that. Can you describe what you mean?;Извините, но я не уловил. Можете ли вы описать, что вы имеете в виду?
Does anyone have any questions?;Есть ли у кого-нибудь вопросы?
Yes, sir/ma’am? Do you have a question?;Да, сэр/мадам? У вас есть вопрос?
Please feel free to raise your hand any time if you have a question.;Пожалуйста, не стесняйтесь поднимать руку в любое время, если у вас есть вопрос.
So, any questions?;Итак, есть вопросы?
For (authentic cuisine, family activities, etc), I recommend…;Для (аутентичной кухни, семейных мероприятий и т.д.) я рекомендую...
My favorite place is…;Мое любимое место - это...
Great, thanks!;Отлично, спасибо!
Turn left;Поверните налево
Turn right;Повернуть направо
Go straight;Идите прямо
Stop at the…;Остановитесь на...
Continue until…;Продолжайте движение до...
Take the (subway, bus, etc.);Пересесть на (метро, автобус и т.д.)
Follow the signs for…;Следуйте указателям на...
At the traffic light;На светофоре
At the next (street, light, block, etc.);На следующей (улице, светофоре, квартале и т.д.)
In (five) blocks;Через (пять) кварталов
Near the (hotel, beach, station, etc.);Рядом с (отелем, пляжем, станцией и т.д.)
On the main plaza;На главной площади